"","Movie","Release_Date.x","Opening.Day","Opening.Weekend","Opening.Week","Lifetime","V","Year","Budget","Genre","SubGenre","Cast","Director","Production","Distributors","X","X.1","X.2","X.3","Release_Date.y","Verified.FB.Page","FB.Following","Trailer.Thumbs.Down","Trailer.Thumbs.Up","Youtube.Trailer.hits","Trailer.Date","Days.between.Releases"
"96","Gori Tere Pyaar Mein!","2013-11-22",3.25,10,"14",14,"Flop",2013,30,"Rom-Com","","Imran Khan,Kareena Kapoor Khan","Punit Malhotra","Dharma Productions","","",NA,NA,NA,"11/22/2013","Y",548689,1878,8679,3887617,"9/9/2013",74
"97","Grand Masti","2013-09-13",12.5,40,"67",103,"Super-Hit",2013,35,"Comedy","","Ritesh Deshmukh,Vivek Oberoi,Aftab Shivdasani,Sonalee Kulkarni,Karishma Tanna,Manjari Fadnis","Indra Kumar","","","",NA,NA,NA,"9/13/2013","N",151924,1003,4866,3397775,"7/17/2013",58
"98","Gulaab Gang","2014-03-07",2.3,8.85,"13",14,"Flop",2014,27,"Biopic","","Juhi Chawla,Madhuri Dixit","","","","",NA,NA,NA,"3/7/2014","Y",69770,1605,13221,4688338,"1/9/2014",57
"99","Gunday","2014-02-14",15.5,43,"57.8",77,"Plus",2014,52,"Drama","","Ranveer Singh,Priyanka Chopra,Arjun Kapoor","","","","",NA,NA,NA,"2/14/2014","Y",1266160,935,6286,2469654,"12/13/2013",63
"100","Haider","2014-10-02",6.14,26.78,"50.07",58,"Plus",2014,24,"Drama","","Shahid Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon","Vishal Bhardwaj","UTV Motion Pictures,
VB Pictures","UTV Motion Pictures","",NA,NA,NA,"10/2/2014","NP",39820,2447,23615,7052828,"7/8/2014",86
"101","Happy Ending","2014-11-21",4,14.5,"20.85",21.89," Flop",2014,55,"Rom-Com","","Saif Ali Khan,Govinda,Ileana D'Cruz,Kalki Koechlin","","","","",NA,NA,NA,"11/21/2014","NP",2502,1125,6947,5194852,"10/9/2014",43
"102","Happy New Year","2014-10-24",44.97,108.86,"157.5",203,"Plus",2014,150,"Comedy","","Shah Rukh Khan,Deepika Padukone,Abhishek Bachchan,Boman Irani,Sonu Sood,Vivaan Shah,Jackie Shroff","Farah Khan","","","T-Series",NA,NA,NA,"10/24/2014","Y",4585533,10306,37666,6402261,"8/14/2014",71
"103","Hasee Toh Phasee","2014-02-07",4.25,16.75,"27.5",36,"Plus",2014,24,"Rom-Com","","Parineeti Chopra,Siddharth Malhotra","","","","",NA,NA,NA,"2/7/2014","Y",1045087,975,6394,2545152,"12/13/2013",56
"104","Hate Story","2012-04-20",2,6.08,"11",14,"Flop",2012,16,"Thriller","","Nikhil Dwivedi,Gulshan Devaiya,Paoli Dam","Vivek Agnihotri","BVG Films","ASA Productions and Enterprises","",NA,NA,NA,"4/20/2012","NP",10838,958,2763,4502389,"3/16/2012",35
"105","Hate Story 2","2014-07-18",5.25,16,"25.6",21,"Plus",2014,15,"Thriller","","Sushant Singh,Surveen Chawla,Jay Bhanushali","Vishal Pandya","","T-Series Film","",NA,NA,NA,"7/18/2014","Y",938280,5236,15731,13801339,"6/5/2014",43
"106","Haunted","2011-05-06",2.25,8.5,"13.5",27,"Plus",2011,9.5,"Horror","","Mahaakshay Chakraborty,Twinkle Bajpai","","","","",NA,NA,NA,"5/6/2011","NP",5989,4,49,120582,"4/7/2011",29
"107","Hawaa Hawaai","2014-05-09",0.85,4,"7.7",10,"Average",2014,15,"Kids","","Partho Gupte,Saqib Saleem","Amole Gupte","Amole Gupte Cinema","Fox Star Studios","",NA,NA,NA,"5/9/2014","N",42855,95,1377,765138,"4/2/2014",37
"108","Hawaizaada","2015-01-30",0.57,2," 03.00",3,"Disaster",2015,25,"Drama","Period","Ayushmann Khurrana,Pallavi Sharda","Vibhu Puri","","","",NA,NA,NA,"1/30/2015","NP",7875,539,2618,2370530,"12/23/2014",38
"109","Heroine","2012-09-21",7.2,25,"36.5",44,"Plus",2012,23,"Drama","","Kareena Kapoor Khan,Arjun Rampal","Madhur Bhandarkar","Bhandarkar Entertainment","UTV Motion Pictures","",NA,NA,NA,"9/21/2012","N",8524,1940,7282,5200978,"7/25/2012",58
"110","Heropanti","2014-05-23",6.5,21,"36",55,"Hit",2014,25,"Action","","Tiger Shroff,Kriti Sanon","Sabbir Khan","Nadiadwala Grandson Entertainment","UTV Motion Pictures","T-Series",NA,NA,NA,"5/23/2014","Y",1825350,1815,8195,4009133,"4/4/2014",49
"111","Hey Bro","2015-03-06",0.25,NA,"1.06",1,"Flop",2015,25,"Comedy","","Ganesh Acharya,Maninder Singh,Nupur Sharma,Hanif Hilal,Indira Krishnan,Prem Chopra","Ajay Chandhok","","","",NA,NA,NA,"3/6/2015","N",843,703,2062,1150768,"1/15/2015",50
"112","Highway","2014-02-21",3.75,13.5," 21.00",27,"Average",2014,32,"Drama","","Alia Bhatt,Randeep Hooda","","","","",NA,NA,NA,"2/21/2014","Y",1017738,9107,971,3045478,"12/16/2013",67
"113","Himmatwala","2013-03-29",11.3,31,"45",93,"Losing",2013,50,"Action","","Ajay Devgn,Tamannaah Bhatia,Paresh Rawal","Sajid Khan","Pooja Entertainment","UTV Motion Pictures","",NA,NA,NA,"3/29/2013","NP",3518,0,0,2535303,"1/24/2013",64
"114","Holiday","2014-06-06",12,41,"68",113,"Hit",2014,50,"Action","","Akshay Kumar,Sonakshi Sinha","","","","",NA,NA,NA,"6/6/2014","Y",1944071,1997,14184,6842265,"2/12/2014",114
"115","Horror Story","2013-09-13",0.7,2,"5",5,"Flop",2013,5,"Horror","","Karan Kundra,Nishant Malkani,Ravish Desai,Hasan Zaidi","Ayush Raina","","ASA Productions and Enterprises Pvt. Ltd.","",NA,NA,NA,"9/13/2013","N",135734,395,1902,1057824,"8/21/2013",23
"116","Housefull 2","2012-04-06",14,42,"63",114,"Super-Hit",2012,50,"Comedy","","Sajid Khan","Nadiadwala Grandson Entertainment","Nadiadwala Grandson Entertainment","Eros International","",NA,NA,NA,"4/6/2012","NP",230090,694,3390,2683798,"2/9/2012",57
"117","Hum Tum Shabana","2011-09-30",0.4,1.5,"2",2,"Flop",2011,25,"Rom-Com","","Tusshar Kapoor,Shreyas Talpade,Minissha Lamba","","","","",NA,NA,NA,"9/30/2011","NP",1378,4,64,144443,"8/11/2011",50
"118","Humpty Sharma Ki Dulhania","2014-07-11",9,33.74,"53.3",77,"Hit",2014,29,"Rom-Com","","Alia Bhatt,Varun Dhawan","","","","",NA,NA,NA,"7/11/2014","Y",2954464,2209,14542,6607695,"5/25/2014",47
"119","Humshakals","2014-06-20",12.5,40.13,"56.35",64,"Flop",2014,70,"Comedy","","Saif Ali Khan,Ritesh Deshmukh","Sajid Khan","","","",NA,NA,NA,"6/20/2014","Y",647310,0,0,6281364,"4/30/2014",51
"120","Hunterr","2015-03-20",1.6,5.1,"10",13.5,"Average",2015,13.4,"Adult Comedy","","Gulshan Devaiah,Radhika Apte,Sai Tamhankar,Veera Saxena,Sagar Deshmukh","Harshavardhan Kulkarni","","","",NA,NA,NA,"3/20/2015","Y",110327,788,3759,4690757,"1/15/2015",64
"121","I Me Aur Main","2013-03-01",1.5,5.4,"8",9,"Flop",2013,20,"Rom-Com","","John Abraham,Prachi Desai,Chitrangada Singh","Kapil Sharma","","Reliance Entertainment","",NA,NA,NA,"3/1/2013","NP",1425,800,2603,2046390,"1/28/2013",32
"122","Inkaar","2013-01-18",1.65,5.8,"8.5",9,"Flop",2013,32,"Drama","","Arjun Rampal,Chitrangada Singh","Sudhir Mishra","Viacom18","Viacom18,Tipping Point Films","",NA,NA,NA,"1/18/2013","N",89554,116,904,1098134,"12/14/2012",35
"123","Ishaqzaade","2012-05-11",4.06,15.95,"25.75",45,"Hit",2012,15,"Romance","","Parineeti Chopra,Arjun Kapoor","Habib Faisal","Yash Raj Films","Yash Raj Films","",NA,NA,NA,"5/11/2012","NP",970077,164,1441,908390,"3/15/2012",57
"124","Issaq","2013-07-26",1,3,"5",5,"Flop",2013,15,"Romance","","Prateik Babbar,Amyra Dastur","Manish Tiwary","Pen India Pvt. Ltd","","",NA,NA,NA,"7/26/2013","N",190273,19,88,78059,"6/11/2013",45
"125","Jab Tak Hai Jaan","2012-11-13",15,81,"98",121,"Super-Hit",2012,60,"Romance","","Shah Rukh Khan,Katrina Kaif,Anushka Sharma","","","","",NA,NA,NA,"11/13/2012","Y",4488762,4870,41297,8728822,"9/20/2012",54
"126","Jackpot","2013-12-13",1.1,3,"4",4," Flop",2013,8,"Crime","","Sunny Leone,Naseeruddin Shah, Sachiin J Joshi","Kaizad Gustad","Viiking Media & Entertainment","","",NA,NA,NA,"12/13/2013","NP",726,76,269,292309,"11/12/2013",31
"127","Jai Ho","2014-01-24",17.5,58.5,"87.75",111,"Plus",2014,111,"Action","","Salman Khan","","","","",NA,NA,NA,"1/24/2014","N",239,407,2787,871709,"12/15/2013",40
"128","Jannat 2","2012-05-04",8.05,23.05,"35.01",42,"Hit",2012,28,"Drama","","Emraan Hashmi,Esha Gupta,Randeep Hooda","Kunal Deshmukh","Fox Star Studios","Vishesh Films","",NA,NA,NA,"5/4/2012","N",1384128,160,1620,1092694,"4/3/2012",31
"129","Jayantabhai Ki Luv Story","2013-02-15",0.5,2.5,"4",4,"Flop",2013,6,"Comedy","","Vivek Oberoi,Neha Sharma","Vinnil Markan","Kumar S. Taurani","Tips Music Films","",NA,NA,NA,"2/15/2013","NP",2984,166,1242,1059886,"1/11/2013",35
"130","Jism 2","2012-08-03",7.5,20,"27.5",34,"Plus",2012,7," Thriller","","Sunny Leone,Randeep Hooda","Pooja Bhatt","Clockwork Films Private Limited","Fish Eye Network Pvt. Ltd.,
Vishesh Films","",NA,NA,NA,"8/3/2012","N",21256,219,448,1014416,"7/20/2012",14
"131","Jodi Breakers","2012-02-24",1.05,6,"8.05",10,"Flop",2012,21,"Rom-Com","","Bipasha Basu,R Madhavan","Ashwini Chaudhary","Rajesh Rajilal","Prasar Visions Pvt. Ltd.","",NA,NA,NA,"2/24/2012","N",5097,20,255,173701,"1/4/2012",51
"132","John Day","2013-09-13",0.45,1.5,"2.5",3," Flop",2013,17,"Action","","Naseeruddin Shah,Randeep Hooda","Ahishor Solomon","","","",NA,NA,NA,"9/13/2013","N",45519,203,865,1232529,"7/27/2013",48
"133","Joker","2012-08-31",4.6,15,"20",20,"Flop",2012,50,"Comedy","","Akshay Kumar,Sonakshi Sinha,Minissha Lamba","Shirish Kunder","Three's Company","Hari Om Entertainment,
UTV Motion Pictures","",NA,NA,NA,"8/31/2012","NP",29,3720,5037,3230731,"7/11/2012",51
"134","Jolly LLB","2013-03-15",3.12,12.51,"19.5",32,"Super-Hit",2013,10,"Comedy","","Arshad Warsi","","","","",NA,NA,NA,"3/15/2013","N",5130,183,3073,1776598,"1/8/2013",66
"135","Kaanchi","2014-04-25",0.85,3,"4",4,"Flop",2014,35,"Romance","","Mishti,Karthik Aryan","Subhash Ghai","Mukta Arts","","",NA,NA,NA,"4/25/2014","None",0,2808,595,2361680,"3/6/2014",50
"136","Kahaani","2012-03-09",2.07,13.05,"23",59,"Super-Hit",2012,8,"Thriller","","Vidya Balan","Sujoy Ghosh","Sujoy Ghosh","Viacom 18","",NA,NA,NA,"3/9/2012","N",488093,124,286,625337,"1/5/2012",64
"137","Kai Po Che!","2013-02-22",4.5,18,"29.35",64,"Hit",2013,30,"Drama","","Sushant Singh Rajput,Asif Basra,Amit Sadh,Rajkummar Rao","Abhishek Kapoor","UTV Motion Pictures","UTV Motion Pictures","",NA,NA,NA,"2/22/2013","NP",14565,519,5734,1923886,"12/20/2012",64
"138","Kamaal Dhamaal Malamaal","2012-09-28",1.25,4.15,"5.6",8,"Flop",2012,15,"Comedy","","Nana Patekar,Paresh Rawal,Om Puri,Shreyas Talpade","Priyadarshan","Percept Picture Company","--","",NA,NA,NA,"9/28/2012","NP",806,81,191,96545,"8/17/2012",42
"139","Karle Pyaar Karle","2014-01-17",0.3,1,"1",1,"Flop",2014,18,"Romance","","Shiv Darshan,Hasleen Kaur","","","","",NA,NA,NA,"1/17/2014","N",38102,128,298,502877,"12/27/2013",21
"140","Khamoshiyan ","2015-01-30",1.92,6.67,"11.3",14,"Average",2015,11,"Horror","","Ali Fazal,Gurmeet Choudhary,Sapna Pabbi","Karan Dara","","","",NA,NA,NA,"1/30/2015","NP",15416,1010,4641,3100238,"12/11/2014",50
"141","Khiladi 786","2012-12-07",10.3,34.1,"51.5",70,"Plus",2012,35,"Action","","Akshay Kumar,Asin","","","","",NA,NA,NA,"12/7/2012","NP",12530,2720,6725,3533002,"11/12/2012",25
"142","Khoobsurat","2014-09-19",2.75,11.25,"19",26,"Hit",2014,25.47,"Rom-Com","","Sonam Kapoor,Fawad Khan","","","","",NA,NA,NA,"9/19/2014","NP",64295,2042,12361,5495318,"7/21/2014",60
"143","Kick","2014-07-25",26,83.5,"164",233,"Hit",2014,100,"Action","","Salman Khan,Jacquline Fernandez","","","","",NA,NA,NA,"7/25/2014","Y",3290155,10110,101784,18992158,"6/15/2014",40
"144","Kill Dil","2014-11-14",6.85,20,"29",31.15,"Flop",2014,44,"Drama","","Ranveer Singh,Ali Zafar,Govinda,Parineeti Chopra","","","","",NA,NA,NA,"11/14/2014","Y",152809,1306,8311,3396755,"9/17/2014",58
"145","Kismet Love Paisa Dilli","2012-10-05",1,3.1,"3.1",4,"Flop",2012,10,"Comedy","","Vivek Oberoi,Mallika Sherawat","Sanjay Khanduri","--","--","",NA,NA,NA,"10/5/2012","NP",275,76,180,146712,"8/29/2012",37
"146","Krrish 3","2013-10-31",24.25,68,"164.5",241,"Hit",2013,115,"Action / Sci -Fi","","Hrithik Roshan,Priyanka Chopra,Kangana Ranaut","","","","",NA,NA,NA,"10/31/2013","Y",3788072,12119,72763,23767666,"8/5/2013",87
"147","Kuch Kuch Locha Hain","2015-05-08",0.75,3," 04.00",4,"Flop",2015,16,"Comedy","","Ranbir Kapoor,Anushka Sharma,Karan Johar,Kay Kay Menon,Manish Chaudhary,Satyadeep Misra,Siddharth Basu,Vivaan Shah","Anurag Kashyap","","","",NA,NA,NA,"5/8/2015","NP",4044,2798,8500,5014508,"3/30/2015",39
"148","Kya Dilli Kya Lahore","2014-05-02",0.08,0.5,"0.5",1,"Flop",2014,6,"Drama","War","Vijay Raaz,Manu Rishi,Raj Zutshi","Vijay Raaz","Picture Thoughts Production","Wave Cinemas","",NA,NA,NA,"5/2/2014","N",195290,64,2020,492849,"4/2/2014",30
"149","Kyaa Super Kool Hain Hum","2012-07-27",6.9,22,"33",45,"Plus",2012,13,"Adult Comedy","","Tusshar Kapoor,Ritesh Deshmukh,Sarah Jane Dias,Neha Sharma,Anupam Kher,Chunky Pandey","Sachin Yardi","ALT Entertainment,
Balaji Motion Pictures","Eros International","",NA,NA,NA,"7/27/2012","N",359,60,443,300093,"4/2/2012",116
"150","Ladies Vs Ricky Bahl","2011-12-09",4.75,16.75,"25",37,"Plus",2011,20,"Rom-Com","","Ranveer Singh,Parineeti Chopra,Anushka Sharma,Dipannita Sharma,Aditi Sharma","","","Yash Raj Films","",NA,NA,NA,"12/9/2011","NP",311120,240,1469,1502301,"11/9/2011",30
"151","Leela ","2015-04-10",5.3,15.85," 24.00",26.57,"Average",2015,18,"Thriller","","Sunny Leone,Jay Bhanushali,Rajneesh Duggal,Rahul Dev,Mohit Ahlawat,Jas Arora","Bobby Khan","","","",NA,NA,NA,"4/10/2015","N",140013,7026,24744,16207624,"2/5/2015",64
"152","Lekar Hum Deewana Dil","2014-07-04",0.5,1.5,"2.5",3," Flop",2014,16,"Rom-Com",""," Armaan Jain,Deeksha Seth","","","","",NA,NA,NA,"7/4/2014","NP",1434,498,2309,3999397,"5/7/2014",58
"153","London Paris New York","2012-03-02",1,3.75,"6.12",9,"Flop",2012,7,"Rom-Com","","Ali Zafar,Aditi Rao Hydari","Anu Menon","Goldie Behl","Fox Star Studios","",NA,NA,NA,"3/2/2012","NP",7925,117,1503,752987,"1/13/2012",49
"154","Lootera","2013-07-05",5.15,19,"27",31,"Average",2013,27,"Drama","","Sonakshi Sinha,Ranveer Singh","","","","",NA,NA,NA,"7/5/2013","N",243834,828,4444,2607950,"3/15/2013",112
"155","Love Breakups Zindagi","2011-10-07",0.35,1.25,"2",2,"Flop",2011,10,"Rom-Com","","Zayed Khan,Dia Mirza","Sahil Sangha","Born Free Entertainment","","",NA,NA,NA,"10/7/2011","NP",5217,22,390,311210,"8/16/2011",52
"156","Luv Ka The End","2011-05-06",0.6,2.35,"4",5,"Losing",2011,12,"Rom-Com","","Shraddha Kapoor","Bumpy","","Y-Films","",NA,NA,NA,"5/6/2011","NP",77669,149,484,580133,"3/30/2011",37
"157","Luv Shuv Tey Chicken Khurana","2012-11-02",1.25,5.5,"8",8,"Losing",2012,3,"Comedy","","Kunal Kapoor,Huma Qureshi","Sameer Sharma","Anurag Kashyap Films,
Jar Pictures,
UTV Spotboy","UTV Motion Pictures","",NA,NA,NA,"11/2/2012","NP",2024,131,930,756023,"9/13/2012",50
"158","Madras Cafe","2013-08-23",4.9,21,"34",45,"Plus",2013,35,"Drama","","John Abraham","","","","",NA,NA,NA,"8/23/2013","N",350820,604,3051,1437733,"7/12/2013",42
"159","Main Tera Hero","2014-04-04",6.25,21,"36",55,"Plus",2014,39,"Rom-Com","","Varun Dhawan,Ileana D'Cruz,Nargis Fakhri","","","","",NA,NA,NA,"4/4/2014","Y",1410747,2140,12665,4907206,"1/23/2014",71
"160","Manjunath","2014-05-09",0.25,1," 01.75",2,"Flop",2014,3,"Drama","","Vijay Raaz,Manu Rishi,Raj Zutshi","Janaki Vishwanathan","","Shruthikkaa Films","",NA,NA,NA,"5/9/2014","N",19235,35,991,370304,"4/1/2014",38
"161","Mardaani","2014-08-22",3.75,14.5,"23",36,"Hit",2014,14,"Thriller","","Rani Mukherjee","","","","",NA,NA,NA,"8/22/2014","Y",258423,1036,14450,4379649,"6/24/2014",59
"162","Margarita With a Straw","2015-04-17",0.5,2.12," 03.28",4,"--",2015,0.54,"Drama","","Kalki Koechlin,Revathi,Sayani Gupta,Kuljeet Singh,Malhar Khushu,William Moseley","Shonali Bose,Nilesh Maniyar","","","",NA,NA,NA,"4/17/2015","Y",38383,108,2228,594322,"3/4/2015",44
"163","Mary Kom","2014-09-05",8.4,30.6," 46.00",64," Hit",2014,15,"Biopic","","Priyanka Chopra","","","","",NA,NA,NA,"9/5/2014","Y",289814,1648,26604,6088430,"7/23/2014",44
"164","Mastram","2014-05-09",0.75,2,"3",3,"Flop",2014,0.5,"Drama","","Kapil Dubey,Harshith D,Rahul Bagga,Tara Alisha","Akhilesh Jaiswal","Bohra Bros Productions,Jar Productions","","",NA,NA,NA,"5/9/2014","Y",54870,1365,3929,3563295,"2/14/2014",84
"165","Matru Ki Bijlee Ka Mandola","2013-01-11",7.02,22.4,"33.15",42,"Plus",2013,45,"Comedy / Drama","","Anushka Sharma,Imran Khan,Pankaj Kapoor","","","","",NA,NA,NA,"1/11/2013","N",419720,652,4337,2466509,"10/14/2012",89
"166","Mausam","2011-09-23",6.75,21,"28",41,"Losing",2011,40,"Romance","","Shahid Kapoor,Sonam Kapoor","","","Eros International Media Ltd.","",NA,NA,NA,"9/23/2011","NP",7274,139,1912,1528602,"7/12/2011",73
"167","Mere Brother Ki Dulhan","2011-09-09",7.35,26,"37",95,"Plus",2011,29,"Rom-Com","","Imran Khan,Katrina Kaif,Ali Zafar,Tara D’Souza","Ali Abbas Zafar","","","",NA,NA,NA,"9/9/2011","N",1514833,318,2328,2065953,"7/12/2011",59
"168","Mere Dad Ki Maruti","2013-03-15",1.3,4.5,"8",13,"Average",2013,5,"Comedy","","Saqib Saleem,Rhea Chakraborty,Ram Kapoor","Ashima Chibber","Y-Films","Yash Raj Films","",NA,NA,NA,"3/15/2013","NP",3189,135,1246,584611,"11/11/2012",124
"169","Mickey Virus","2013-10-25",1.5,5,"7",7,"Losing",2013,11,"Comedy",""," Manish Paul,Elli Avram","","","","",NA,NA,NA,"10/25/2013","N",1022,130,531,203020,"9/20/2013",35
"170","Miss Lovely","2014-01-17",0.2,0.7,"0.7",1,"Flop",2014,4.5,"Drama","","Nawazuddin Siddiqui,Niharika Singh,Menaka Lalwani","","","","",NA,NA,NA,"1/17/2014","NP",386,95,330,813181,"5/27/2014",-130
"171","Mr Joe B. Carvalho","2014-01-03",0.65,2," 04.00",4,"Flop",2014,15,"Comedy","","Arshad Warsi,Soha Ali Khan,Javed Jaffrey,Vijay Raaz","Samir Tewari","","B.R Entertainment","",NA,NA,NA,"1/3/2014","N",41197,43,497,911317,"11/25/2013",39
"172","Mr X ","2015-04-17",4.5,13.99," 22.75",24.79,"Flop",2015,39,"Thriller","","Emraan Hashmi,Amyra Dastur,Arunoday Singh,Tanmay Bhatt","Vikram Bhatt","","","",NA,NA,NA,"4/17/2015","NP",11617,152,717,461828,"3/9/2015",39
"173","MSG","2015-02-13",2,10,"20",27,"--",2015,20,"Religious","","Gurmeet Ram Rahim Singh Ji Insan,Jayshree Soni,Flora Asha Saini,Gaurav Gera","Jeetu Arora Insan,Gurmeet Ram Rahim Singh Ji Insan","","","",NA,NA,NA,"2/13/2015","Y",125361,11168,41815,3271100,"12/18/2014",57
"174","Mujhse Fraaandship Karoge","2011-10-14",0.5,2.15,"3.5",32,"Plus",2011,8,"Rom-Com","","Saqib Saleem,Saba Azad,Nishant Dahiya,Tara D’Souza","Nupur Asthana","","","",NA,NA,NA,"10/14/2011","NP",8814,69,686,360192,"9/6/2011",38
"175","Murder 2","2011-07-08",6.5,22.5,"35.5",46,"Super-hit",2011,10,"Thriller","","Emraan Hashmi,Jacqueline Fernandez","Mohit Suri","Vishesh Films","Vishesh Films,
T series","",NA,NA,NA,"7/8/2011","N",2374250,6,45,50310,"6/1/2011",37
"176","Murder 3","2013-02-15",4.52,13.31,"20.86",21,"Super-Hit",2013,12,"Thriller","","Randeep Hooda,Aditi Rao Hydari,Sara Loren","Vishesh Bhatt","Fox Star Studios","Fox Star Studios","",NA,NA,NA,"2/15/2013","N",1951,760,1927,2297673,"1/7/2013",39
"177","Nasha","2013-07-26",1.1,3,"5",8,"Flop",2013,10,"Drama","","Poonam Pandey","","","","",NA,NA,NA,"7/26/2013","N",187027,198,304,662499,"7/13/2013",13
"178","Nautanki Saala","2013-04-12",3.25,13.25,"17.85",21,"Plus",2013,16,"Rom-Com","","Ayushmann Khurrana,Kunaal Roy Kapur,Pooja Salvi,Gaelyn Mendonca,Evelyn Sharma,Sanjeev Bhatt","Rohan Sippy","","","",NA,NA,NA,"4/12/2013","N",512971,344,1444,1217386,"2/6/2013",65
"179","NH 10","2015-03-13",3.35,13.3,"20.5",32.1,"Hit",2015,23,"Thriller","","Anushka Sharma,Neil Bhoopalam,Darshan Kumaar,Deepti Naval","Navdeep Singh","","","",NA,NA,NA,"3/13/2015","NP",9330,1532,15525,5600719,"2/5/2015",36
"180","No One Killed Jessica","2011-01-07",3.1,12.5,"19",29,"Plus",2011,10,"Biopic","Crime","Rani Mukherjee,Vidya Balan","","","","",NA,NA,NA,"1/7/2011","NP",35478,61,894,1247853,"11/17/2010",51
"181","O Teri","2014-03-28",0.75,2.4,"3.75",3.75,"Flop",2014,16,"Comedy","","Pulkit Samrat,Bilal Amrohi,Sarah Jane Dias,Mandira Bedi","Umesh Bist","Reel Life Productions","","",NA,NA,NA,"3/28/2014","Y",320050,278,3003,1511883,"1/23/2014",64
"182","OMG Oh My God!","2012-09-28",4,16.6,"36",82,"Super-Hit",2012,20,"Comedy / Drama","","Akshay Kumar,Paresh Rawal","Umesh Shukla","Grazing Goat Pictures","Viacom 18","",NA,NA,NA,"9/28/2012","N",155683,207,1405,1010293,"8/16/2012",43
"183","Once Upon A Time In Mumbaai Dobaara!","2013-08-15",11.5,41,"54.25",65,"Losing",2013,32,"Drama","","Ajay Devgn,Emraan Hashmi,Kangana Ranaut,Prachi Desai,Randeep Hooda","Milan Luthria","Ekta Kapoor","Balaji Motion Pictures","",NA,NA,NA,"8/15/2013","N",1436183,2835,9264,3122932,"5/28/2013",79
"184","One By Two","2014-01-31",0.5,1.75,"2.5",3,"Flop",2014,15,"Rom-Com","","Abhay Deol,Preeti Desai","","","","",NA,NA,NA,"1/31/2014","Y",81058,212,1082,1017884,"12/18/2013",44
"185","Paan Singh Tomar","2012-03-02",0.75,4.01,"7",15,"Hit",2012,4.5,"Drama","","Irrfan Khan","","","","",NA,NA,NA,"3/2/2012","N",24610,22,603,446421,"2/7/2012",24
"186","Patiala House","2011-02-11",4.5,15.5,"24",32,"Flop",2011,26,"Sports ","","Akshay Kumar,Anushka Sharma,Rishi Kapoor","Nikhil Advani","","T-Series","",NA,NA,NA,"2/11/2011","NP",226617,60,233,436618,"12/23/2010",50
"187","Phata Poster Nikhla Hero","2013-09-20",6,22,"32",38,"Flop",2013,40,"Comedy / Action","","Shahid Kapoor","","","","",NA,NA,NA,"9/20/2013","N",69478,1411,10797,5262921,"7/14/2013",68
"188","Piku","2015-05-08",5.32,25.22," 41.40",79,"Hit",2015,35,"Drama","","Amitabh Bachchan,Deepika Padukone,Irrfan Khan,Moushumi Chatterjee","Shoojit Sircar","MSM Motion Pictures,
Saraswati Entertainment,Creations Limited,
Rising Sun Films","Yash Raj Films","",NA,NA,NA,"5/8/2015","Y",303547,1530,18980,5521602,"4/13/2015",25
"189","Pizza 3D","2014-07-18",0.75,3,"4.35",4,"Flop",2014,15,"Horror",""," Akshay Oberoi,Parvathy Omanakuttan,Dipannita Sharma","","","","",NA,NA,NA,"7/18/2014","None",0,159,1135,839923,"5/22/2014",57
"190","Players","2012-01-06",4.69,14.98,"21.75",29,"Flop",2012,45,"Crime","","Abhishek Bachchan,Sonam Kapoor,Bipasha Basu,Neil Nitin Mukesh,Bobby Deol","Abbas-Mustan","Viacom 18","Viacom 18","",NA,NA,NA,"1/6/2012","N",380141,236,618,814656,"11/3/2011",64
"191","Policegiri","2013-07-05",2.5,8,"14",16,"Flop",2013,25,"Comedy","","Sanjay Dutt,Prakash Raj,Prachi Desai","K.S. Ravikumar","","","",NA,NA,NA,"7/5/2013","N",146680,437,1743,1815639,"5/28/2013",38
"192","Prague","2013-09-27",0.1,0.8," 00.90",1,"Flop",2013,2,"Drama","","Chandan Roy Sanyal,Elena Kazan","Ashish R Shukla","","","",NA,NA,NA,"9/27/2013","NP",25,13,19,34520,"12/4/2013",-68
"193","Purani Jeans","2014-05-02",0.35,1,"1",1,"Flop",2014,15,"Rom-Com","","Tanuj Virwani,Aditya Seal,Izabelle Leite","Tanushri Chattrji Bassu","","Eros International","",NA,NA,NA,"5/2/2014","NP",2879,229,825,1538011,"3/20/2014",43
"194","Pyaar Ka Punchnama","2011-05-20",1.1,3.25,"5.5",11,"Plus",2011,7,"Comedy / Drama","","Kartik Tiwari,Raayo S Bakhirta,Divyendu Sharma","Luv Ranjan","","","",NA,NA,NA,"5/20/2011","Y",245351,4,240,232531,"4/14/2011",36
"195","Queen","2014-03-07",1.75,9.55,"18.3",61,"Super-Hit",2014,12.5,"Comedy","","Kangana Ranaut,Lisa Haydon","","","","",NA,NA,NA,"3/7/2014","Y",646154,5371,442,2928984,"12/20/2013",77
"196","R… Rajkumar","2013-12-06",9.5,29," 47.00",64," Plus",2013,40,"Action","","Shahid Kapoor,Sonakshi Sinha","Prabhu Deva","Next Gen Films","Eros International","",NA,NA,NA,"12/6/2013","NP",18770,2819,60161,6150177,"10/1/2013",66
